CSAFP	GEOID	NAME	CBSA_TYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                             
490	25020	Guayama, PR Metro Area	1	328148350	235862232	     126.699	      91.067	 17.981448	 -66.069988                                                                                                 
548	25180	Hagerstown-Martinsburg, MD-WV Metro Area	1	2017375973	25865741	     778.913	       9.987	 39.542152	 -77.899767                                                                               
406	25220	Hammond, LA Metro Area	1	2049488094	136678798	     791.312	      52.772	 30.621580	 -90.406633                                                                                                
546	25260	Hanford-Corcoran, CA Metro Area	1	3598583450	5468555	    1389.421	       2.111	 36.072478	-119.815530                                                                                         
448	25300	Hannibal, MO Micro Area	2	2348355014	55510742	     906.705	      21.433	 39.664115	 -91.579179                                                                                                
276	25420	Harrisburg-Carlisle, PA Metro Area	1	4200971848	108892326	    1622.004	      42.044	 40.335924	 -77.050475                                                                                    
277	25500	Harrisonburg, VA Metro Area	1	2244174790	11270642	     866.481	       4.352	 38.507585	 -78.885321                                                                                            
278	25540	Hartford-West Hartford-East Hartford, CT Metro Area	1	3923208429	238338950	    1514.759	      92.023	 41.718601	 -72.573942                                                                   
482	25720	Heber, UT Micro Area	2	3048434118	79148386	    1177.007	      30.559	 40.334884	-111.161568                                                                                                   
450	25780	Henderson, NC Micro Area	2	653705786	42187365	     252.397	      16.289	 36.365481	 -78.405434                                                                                                
280	25860	Hickory-Lenoir-Morganton, NC Metro Area	1	4246269591	75131153	    1639.494	      29.008	 35.814667	 -81.457067                                                                                
496	25980	Hinesville, GA Metro Area	1	2374380744	232029283	     916.754	      89.587	 31.778780	 -81.576470                                                                                             
266	26090	Holland, MI Micro Area	2	2137349551	2610845118	     825.235	    1008.053	 42.595787	 -86.634745                                                                                               
284	26300	Hot Springs, AR Metro Area	1	1755530788	147143529	     677.814	      56.812	 34.578861	 -93.146915                                                                                            
288	26420	Houston-The Woodlands-Sugar Land, TX Metro Area	1	21395421889	3063997719	    8260.819	    1183.016	 29.749593	 -95.353642                                                                     
104	26460	Hudson, NY Micro Area	2	1643778342	35063763	     634.666	      13.538	 42.247729	 -73.626806                                                                                                  
258	26540	Huntington, IN Micro Area	2	991054480	13135918	     382.648	       5.072	 40.826394	 -85.478597                                                                                               
170	26580	Huntington-Ashland, WV-KY-OH Metro Area	1	6545973821	91818592	    2527.415	      35.451	 38.373691	 -82.385193                                                                                
290	26620	Huntsville, AL Metro Area	1	3526393541	151137145	    1361.548	      58.354	 34.783262	 -86.734871                                                                                             
288	26660	Huntsville, TX Micro Area	2	3827524072	97529547	    1477.815	      37.656	 30.909844	 -95.369290                                                                                              
378	26780	Hutchinson, MN Micro Area	2	1272931184	36379308	     491.481	      14.046	 44.821657	 -94.272323                                                                                              
292	26820	Idaho Falls, ID Metro Area	1	13457622995	125373512	    5196.018	      48.407	 43.620423	-112.420919                                                                                           
430	26860	Indiana, PA Micro Area	2	2142009116	18802621	     827.034	       7.260	 40.651432	 -79.087545                                                                                                 
294	26900	Indianapolis-Carmel-Anderson, IN Metro Area	1	11153822691	88553190	    4306.515	      34.191	 39.744932	 -86.204541                                                                           
185	26940	Indianola, MS Micro Area	2	1807187009	23747315	     697.759	       9.169	 33.605529	 -90.595090                                                                                               
266	26960	Ionia, MI Micro Area	2	1479671935	22641047	     571.305	       8.742	 42.944650	 -85.073766                                                                                                   
168	26980	Iowa City, IA Metro Area	1	3063662686	28964338	    1182.887	      11.183	 41.517806	 -91.647930                                                                                               
296	27060	Ithaca, NY Metro Area	1	1229335153	43793781	     474.649	      16.909	 42.453006	 -76.473483                                                                                                  
